,assoc,values
0,they sell,two analysts rated stock sell rating eight given hold rating three given buy rating company .
1,they sell,zacks investment research cut apartment investment management hold rating sell rating research note monday july 2nd .
2,they sell,"apartment investment management news insider keith m. kimmel sold 25,000 shares apartment investment management stock transaction wednesday august 8th ."
3,they sell,"stock sold average price 43.21 total transaction 1,080,250.00 ."
4,they sell,zacks investment research lowered apartment investment management hold rating sell rating research note monday july 2nd .
5,they sell,two equities research analysts rated stock sell rating eight issued hold rating three issued buy rating company .
6,they sell,"related news insider keith m. kimmel sold 25,000 shares apartment investment management stock transaction dated wednesday august 8th ."
7,they sell,"stock sold average price 43.21 total value 1,080,250.00 ."
8,they sell,company spent 200.83 million trying sell products last quarter result yielding gross income 49.36 million .
9,they sell,"related news executive vice president kimmel keith sold 25,000 shares company stock transaction recorded august 8th 2018. sale performed average price 43.21 total value 1,080,130. sale deal closes director kimmel keith sold 1,318 shares company stock valued 54,197. also executive vice president cohn lisa r sold 9,694 shares company stock deal recorded february 12th 2018. shares sold average price 39.00 per share total market value 78,754. following completion acquisition executive vice president holds 2,587 shares company stock valued 108,395. last 6 months insiders changed ownership shares company stock 0.10 ."
10,they buy,2 15 analysts covering stock rated buy 10 maintained hold recommendation apartment investment management company stock .
11,they sell,0 analysts assigned sell rating aiv stock .
