,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/27/2014
1,Total Revenue,"5,878,000","6,356,000","6,418,000","6,587,000"
2,Cost of Revenue,"3,185,000","3,672,000","3,836,000","4,029,000"
3,Gross Profit,"2,693,000","2,684,000","2,582,000","2,558,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"947,000","1,038,000","1,058,000","1,028,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,"4,000","-3,000"
9,Total Operating Expenses,"4,132,000","4,710,000","4,898,000","5,054,000"
10,Operating Income or Loss,"1,746,000","1,646,000","1,520,000","1,533,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"528,000","-301,000","-267,000","-159,000"
13,Earnings Before Interest and Taxes,"1,746,000","1,646,000","1,520,000","1,533,000"
14,Interest Expense,"-440,000","-305,000","-141,000","-143,000"
15,Income Before Tax,"2,274,000","1,345,000","1,253,000","1,374,000"
16,Income Tax Expense,"934,000","327,000","327,000","368,000"
17,Minority Interest,-,-,"64,000","66,000"
18,Net Income From Continuing Ops,"1,340,000","1,018,000","926,000","1,006,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"625,000","357,000","45,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,340,000","1,643,000","1,283,000","1,051,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,340,000","1,643,000","1,283,000","1,051,000"
