,0,1,2,3,4
0,Revenue,9/30/2018,9/30/2017,9/30/2016,9/30/2015
1,Total Revenue,"20,609,000","18,358,000","15,082,000","13,880,000"
2,Cost of Revenue,"686,000","620,000","538,000","474,000"
3,Gross Profit,"19,923,000","17,738,000","14,544,000","13,406,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"5,749,000","4,827,000","4,018,000","3,834,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"7,048,000","6,003,000","5,058,000","4,802,000"
10,Operating Income or Loss,"13,561,000","12,355,000","10,024,000","9,078,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-755,000","-669,000","-2,012,000","-83,000"
13,Earnings Before Interest and Taxes,"13,561,000","12,355,000","10,024,000","9,078,000"
14,Interest Expense,"-612,000","-563,000","-427,000","-3,000"
15,Income Before Tax,"12,806,000","11,694,000","8,012,000","8,995,000"
16,Income Tax Expense,"2,505,000","4,995,000","2,021,000","2,667,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"10,301,000","6,699,000","5,991,000","6,328,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"10,301,000","6,699,000","5,991,000","6,328,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"10,301,000","6,467,000","5,929,000","6,313,000"
