,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"30,095,000","26,004,000","24,706,000","23,526,000"
2,Cost of Revenue,"23,304,000","20,074,000","18,797,000","17,884,000"
3,Gross Profit,"6,791,000","5,930,000","5,909,000","5,642,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,617,000","1,477,000","2,971,000","2,566,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"25,921,000","21,551,000","21,768,000","20,450,000"
10,Operating Income or Loss,"4,174,000","4,453,000","2,938,000","3,076,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-461,000","-224,000","-257,000","-286,000"
13,Earnings Before Interest and Taxes,"4,174,000","4,453,000","2,938,000","3,076,000"
14,Interest Expense,"-562,000","-360,000","-301,000","-301,000"
15,Income Before Tax,"3,742,000","4,229,000","2,681,000","2,790,000"
16,Income Tax Expense,"513,000","1,360,000","638,000","800,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"3,229,000","2,869,000","2,043,000","1,990,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"3,229,000","2,869,000","2,043,000","1,990,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"3,229,000","2,869,000","2,043,000","1,990,000"
