,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"11,687,000","11,207,000","10,183,000","10,231,000"
2,Cost of Revenue,"7,600,000","7,248,000","7,174,000","6,983,000"
3,Gross Profit,"4,087,000","3,959,000","3,009,000","3,248,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"160,000","130,000","71,000","78,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"9,309,000","8,868,000","8,557,000","8,311,000"
10,Operating Income or Loss,"2,378,000","2,339,000","1,626,000","1,920,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,157,000","-713,000","281,000","-132,000"
13,Earnings Before Interest and Taxes,"2,378,000","2,339,000","1,626,000","1,920,000"
14,Interest Expense,"-926,000","-660,000","-556,000","-567,000"
15,Income Before Tax,"1,221,000","1,626,000","1,907,000","1,788,000"
16,Income Tax Expense,"96,000","1,276,000","389,000","341,000"
17,Minority Interest,"2,110,000","2,470,000","2,290,000","770,000"
18,Net Income From Continuing Ops,"1,125,000","350,000","1,518,000","1,447,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,049,000","256,000","1,370,000","1,349,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,049,000","256,000","1,370,000","1,349,000"
