,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"8,031,000","7,499,000","7,360,000","7,637,000"
2,Cost of Revenue,"3,885,000","3,289,000","3,422,000","4,493,000"
3,Gross Profit,"4,146,000","4,210,000","3,938,000","3,144,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"608,000","697,000","683,000","609,000"
7,Non Recurring,-,-,-,-
8,Others,"102,000","87,000","50,000","62,000"
9,Total Operating Expenses,"6,331,000","5,836,000","5,893,000","6,340,000"
10,Operating Income or Loss,"1,700,000","1,663,000","1,467,000","1,297,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,165,000","-2,038,000","-3,180,000","2,287,000"
13,Earnings Before Interest and Taxes,"1,700,000","1,663,000","1,467,000","1,297,000"
14,Interest Expense,"-1,083,000","-1,179,000","-1,044,000","-747,000"
15,Income Before Tax,"535,000","-375,000","-1,713,000","3,584,000"
16,Income Tax Expense,"-1,974,000","-25,000","-399,000","1,249,000"
17,Minority Interest,"6,519,000","9,403,000","10,077,000","11,395,000"
18,Net Income From Continuing Ops,"2,509,000","-350,000","-1,314,000","2,335,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,"4,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,174,000","-424,000","-571,000","2,114,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,174,000","-424,000","-571,000","2,114,000"
