,assoc,values
0,they buy,calculations show 200 day moving average 235.48 50 day moving average 250.20. currently bdx stock trading 0.04 200 day moving average may good opportunity buy .
1,they buy,following last four quarter reported earnings per share:06-30-2018 2.9103-31-2018 2.6512-31-2017 2.4809-30-2017 2.40 personal capital advisors corp bought new position shares becton dickinson co nyse bdx third quarter according company recent form 13f filing securities exchange commission .
2,they buy,"firm bought 2,143 shares medical instruments supplier stock valued approximately 559,000 ."
3,they sell,number hedge funds also recently bought sold shares stock .
4,they buy,"acropolis investment management llc bought new position becton dickinson third quarter valued 101,000 ."
5,they buy,"bought new stake becton dickinson second quarter valued 105,000 ."
6,they buy,"bridgeworth llc bought new position shares becton dickinson second quarter worth 131,000 ."
7,they buy,citigroup boosted target price becton dickinson 274.00 283.00 gave company buy rating research report wednesday august 8th .
8,they buy,finally keycorp reissued buy rating issued 264.00 target price shares becton dickinson research report friday august 3rd .
9,they buy,five equities research analysts rated stock hold rating ten assigned buy rating stock .
10,they buy,stock presently consensus rating buy consensus price target 256.14 .
11,they sell,google_ad_client ca-pub-0703139142419429 google_ad_slot 5621244306 google_ad_width 336 google_ad_height 280 c hedge funds institutional investors also recently bought sold shares company .
12,they buy,finally keycorp reaffirmed buy rating set 264.00 target price shares becton dickinson research note friday august 3rd .
13,they buy,five equities research analysts rated stock hold rating eleven assigned buy rating company .
14,they buy,becton dickinson currently average rating buy consensus target price 255.40 .
15,they buy,keycorp reaffirmed buy rating issued 264.00 price target shares becton dickinson report friday august 3rd .
16,they buy,citigroup upped price objective shares becton dickinson 274.00 283.00 gave company buy rating research note wednesday august 8th .
17,they buy,wells fargo co increased price target shares becton dickinson 275.00 290.00 gave stock outperform rating research note thursday september 6th .
18,they buy,finally morgan stanley increased price objective shares becton dickinson 250.00 280.00 gave stock equal weight rating research report thursday october 4th .
19,they buy,five equities research analysts rated stock hold rating ten issued buy rating company .
20,they buy,stock presently average rating buy average target price 256.14 .
21,they buy,"finally bridgeworth llc bought new position becton dickinson 2nd quarter valued 131,000 ."
22,they buy,morgan stanley increased price objective shares becton dickinson 250.00 280.00 gave company equal weight rating research note thursday october 4th .
23,they buy,wells fargo co increased price objective shares becton dickinson 275.00 290.00 gave company outperform rating research note thursday september 6th .
24,they buy,citigroup increased price objective shares becton dickinson 274.00 283.00 gave company buy rating research note wednesday august 8th .
25,they buy,five research analysts rated stock hold rating eleven assigned buy rating company stock .
26,they buy,company currently average rating buy consensus price target 255.40 .
27,they buy,citigroup increased price objective shares becton dickinson 274.00 283.00 gave stock buy rating report wednesday august 8th .
28,they buy,morgan stanley increased target price shares becton dickinson 250.00 280.00 gave stock equal weight rating research report thursday october 4th .
29,they buy,finally wells fargo co increased target price shares becton dickinson 275.00 290.00 gave stock outperform rating research report thursday september 6th .
30,they buy,five investment analysts rated stock hold rating eleven assigned buy rating stock .
31,they buy,becton dickinson currently consensus rating buy consensus price target 255.40 .
32,they buy,"acropolis investment management llc bought new position becton dickinson third quarter valued 101,000 ."
33,they buy,"bought new position becton dickinson second quarter valued 105,000 ."
34,they buy,"bartlett co. llc increased position becton dickinson 2,900.0 second quarter ."
35,they buy,bdo wealth advisors llc increased position becton dickinson 361.6 first quarter .
36,they buy,"finally bridgeworth llc bought new position becton dickinson second quarter valued 131,000 ."
37,they buy,finally keycorp reissued buy rating set 264.00 target price shares becton dickinson research note friday august 3rd .
38,they buy,five equities research analysts rated stock hold rating eleven issued buy rating stock .
39,they buy,company consensus rating buy average target price 255.40 .
40,they buy,hsbc upgrades gol linhas aereas inteligentes nyse gol buy hc wainwright analysts give global blood therapeutics nasdaq gbt 125.00 price target regentatlantic capital llc raised stake shares becton dickinson co nyse bdx 21.6 third quarter according recent 13f filing securities exchange commission .
41,they buy,citigroup lifted price objective shares becton dickinson 274.00 283.00 gave company buy rating research note wednesday august 8th .
42,they buy,finally keycorp reaffirmed buy rating issued 264.00 price objective shares becton dickinson research note friday august 3rd .
