,0,1,2,3,4
0,Revenue,6/30/2018,6/30/2017,6/30/2016,6/30/2015
1,Total Revenue,"9,024,000","8,139,000","8,292,000","8,524,000"
2,Cost of Revenue,"4,903,000","4,529,000","4,728,000","4,952,000"
3,Gross Profit,"4,121,000","3,610,000","3,564,000","3,572,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"3,084,000","2,716,000","2,703,000","2,577,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"8,459,000","7,694,000","7,936,000","8,027,000"
10,Operating Income or Loss,"565,000","445,000","356,000","497,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,654,000","-1,060,000","-175,000","55,000"
13,Earnings Before Interest and Taxes,"565,000","445,000","356,000","497,000"
14,Interest Expense,"-7,000","-7,000","-7,000","-7,000"
15,Income Before Tax,"-1,089,000","-615,000","181,000","552,000"
16,Income Tax Expense,"355,000","28,000","-54,000","185,000"
17,Minority Interest,"1,186,000","284,000","218,000","171,000"
18,Net Income From Continuing Ops,"-1,444,000","-643,000","235,000","367,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"15,000","-445,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-1,514,000","-738,000","179,000","-147,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-1,516,000","-740,000","177,000","-149,000"
