,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"3,128,900","2,704,400","2,367,400","2,131,700"
2,Cost of Revenue,"927,000","814,300","789,500","717,900"
3,Gross Profit,"2,201,900","1,890,100","1,577,900","1,413,800"
4,Operating Expenses,,,,
5,Research Development,"328,600","239,600","197,400","178,000"
6,Selling General and Administrative,"793,400","693,200","627,300","608,600"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,049,000","1,747,100","1,614,200","1,504,500"
10,Operating Income or Loss,"1,079,900","957,300","753,200","627,200"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"16,600","23,500","5,300","-78,200"
13,Earnings Before Interest and Taxes,"1,079,900","957,300","753,200","627,200"
14,Interest Expense,-,-,-,-
15,Income Before Tax,"1,096,500","980,800","758,500","549,000"
16,Income Tax Expense,"436,500","244,900","169,700","130,200"
17,Minority Interest,"1,600","1,600","1,600","1,600"
18,Net Income From Continuing Ops,"660,000","735,900","588,800","418,800"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"660,000","735,900","588,800","418,800"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"660,000","735,900","588,800","418,800"
