,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"15,160,600","11,396,600","6,416,700","6,022,100"
2,Cost of Revenue,"3,953,000","2,698,500","937,900","887,400"
3,Gross Profit,"11,207,600","8,698,100","5,478,800","5,134,700"
4,Operating Expenses,,,,
5,Research Development,"1,743,300","1,430,900","920,300","877,200"
6,Selling General and Administrative,"3,530,900","3,015,200","1,842,500","1,782,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"10,995,600","8,318,000","4,199,400","3,790,400"
10,Operating Income or Loss,"4,165,000","3,078,600","2,217,300","2,231,700"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-2,269,100","-2,601,200","-833,700","1,107,200"
13,Earnings Before Interest and Taxes,"4,165,000","3,078,600","2,217,300","2,231,700"
14,Interest Expense,"-578,900","-469,600","-41,600","-30,800"
15,Income Before Tax,"1,895,900","477,400","1,383,600","3,338,900"
16,Income Tax Expense,"-2,357,600","-126,100","46,100","56,100"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"4,253,500","603,500","1,337,500","3,282,800"
19,Non-recurring Events,,,,
20,Discontinued Operations,"18,000","-276,100","-34,100","122,700"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"4,271,500","327,400","1,303,400","3,405,500"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"4,271,500","327,400","1,303,400","3,405,500"
