,0,1,2,3,4
0,Revenue,9/30/2018,9/30/2017,9/30/2016,9/30/2015
1,Total Revenue,"6,319,100","6,392,200","6,618,000","7,948,700"
2,Cost of Revenue,"3,430,300","3,464,600","3,570,800","4,215,600"
3,Gross Profit,"2,888,800","2,927,600","3,047,200","3,733,100"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"744,800","667,500","653,300","697,300"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"4,175,100","4,132,100","4,224,100","4,912,900"
10,Operating Income or Loss,"2,144,000","2,260,100","2,393,900","3,035,800"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"71,200","289,000","105,900","-7,400"
13,Earnings Before Interest and Taxes,"2,144,000","2,260,100","2,393,900","3,035,800"
14,Interest Expense,"-48,700","-51,500","-49,900","-39,600"
15,Income Before Tax,"2,215,200","2,549,100","2,499,800","3,028,400"
16,Income Tax Expense,"1,472,500","759,400","742,100","923,700"
17,Minority Interest,"1,352,300","2,257,700","653,500","714,400"
18,Net Income From Continuing Ops,"742,700","1,789,700","1,757,700","2,104,700"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"764,400","1,696,700","1,726,700","2,035,300"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"746,800","1,684,300","1,715,800","2,023,300"
