,0,1,2,3,4
0,Revenue,12/30/2017,12/31/2016,12/26/2015,12/27/2014
1,Total Revenue,"12,461,543","11,571,668","10,629,719","10,371,390"
2,Cost of Revenue,"9,062,440","8,345,195","7,622,765","7,460,075"
3,Gross Profit,"3,399,103","3,226,473","3,006,954","2,911,315"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,534,409","2,409,008","2,238,051","2,196,173"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"11,596,849","10,754,203","9,860,816","9,656,248"
10,Operating Income or Loss,"864,694","817,465","768,903","715,142"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-42,895","-43,112","-34,085","5,904"
13,Earnings Before Interest and Taxes,"864,694","817,465","768,903","715,142"
14,Interest Expense,"-53,654","-31,893","-26,008","-24,057"
15,Income Before Tax,"821,799","774,353","734,818","721,046"
16,Income Tax Expense,"362,506","217,958","211,391","215,610"
17,Minority Interest,"845,049","615,374","544,752","567,378"
18,Net Income From Continuing Ops,"459,293","556,395","523,427","505,436"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"406,299","506,778","479,058","466,077"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"406,299","506,778","479,058","466,077"
