,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"22,832,000","21,240,000","19,941,000","21,813,000"
2,Cost of Revenue,"11,077,000","10,064,000","9,663,000","10,825,000"
3,Gross Profit,"11,755,000","11,176,000","10,278,000","10,988,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"-13,000","-24,000","-29,000","-29,000"
7,Non Recurring,-,-,-,-
8,Others,"1,022,000","948,000","997,000","924,000"
9,Total Operating Expenses,"14,277,000","13,093,000","12,669,000","13,761,000"
10,Operating Income or Loss,"8,555,000","8,147,000","7,272,000","8,052,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-814,000","-515,000","-506,000","-396,000"
13,Earnings Before Interest and Taxes,"8,555,000","8,147,000","7,272,000","8,052,000"
14,Interest Expense,"-870,000","-719,000","-698,000","-622,000"
15,Income Before Tax,"7,741,000","7,632,000","6,766,000","7,656,000"
16,Income Tax Expense,"1,775,000","-3,080,000","2,533,000","2,884,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"5,966,000","10,712,000","4,233,000","4,772,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"5,966,000","10,712,000","4,233,000","4,772,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"5,966,000","10,712,000","4,233,000","4,772,000"
