,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"8,423,000","8,668,000","8,831,000","6,596,000"
2,Cost of Revenue,"5,569,000","5,794,000","5,895,000","4,395,000"
3,Gross Profit,"2,854,000","2,874,000","2,936,000","2,201,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,301,000","1,442,000","1,707,000","886,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"6,870,000","7,236,000","7,602,000","5,281,000"
10,Operating Income or Loss,"1,553,000","1,432,000","1,229,000","1,315,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-464,000","-459,000","-392,000","-278,000"
13,Earnings Before Interest and Taxes,"1,553,000","1,432,000","1,229,000","1,315,000"
14,Interest Expense,"-314,000","-359,000","-403,000","-199,000"
15,Income Before Tax,"1,089,000","973,000","837,000","1,037,000"
16,Income Tax Expense,"208,000","-321,000","291,000","379,000"
17,Minority Interest,"7,000","109,000","104,000","86,000"
18,Net Income From Continuing Ops,"881,000","1,294,000","546,000","658,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"1,000","-7,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"846,000","1,261,000","525,000","632,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"846,000","1,261,000","525,000","632,000"
