,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"13,452,900","12,273,900","11,448,800","10,763,800"
2,Cost of Revenue,"1,816,300","1,630,000","1,433,200","1,240,400"
3,Gross Profit,"11,636,600","10,643,900","10,015,600","9,523,400"
4,Operating Expenses,,,,
5,Research Development,"2,597,200","2,253,600","1,973,300","2,012,800"
6,Selling General and Administrative,"2,098,200","1,917,900","1,949,900","2,113,100"
7,Non Recurring,-,-,-,-
8,Others,"185,000","112,300","10,200","10,200"
9,Total Operating Expenses,"7,077,900","6,369,100","5,740,000","5,748,900"
10,Operating Income or Loss,"6,375,000","5,904,800","5,708,800","5,014,900"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-475,400","-776,000","-775,800","-260,100"
13,Earnings Before Interest and Taxes,"6,375,000","5,904,800","5,708,800","5,014,900"
14,Interest Expense,"-200,600","-250,800","-260,000","-95,500"
15,Income Before Tax,"5,899,600","5,128,800","4,933,000","4,754,800"
16,Income Tax Expense,"1,425,600","2,458,700","1,237,300","1,161,600"
17,Minority Interest,"-8,000","-14,700","-11,500","2,100"
18,Net Income From Continuing Ops,"4,474,000","2,670,100","3,695,700","3,593,200"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"4,430,700","2,539,100","3,702,800","3,547,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"4,430,700","2,539,100","3,702,800","3,547,000"
