,0,1,2,3,4
0,Revenue,9/29/2018,9/30/2017,10/1/2016,10/3/2015
1,Total Revenue,"40,052,000","38,260,000","36,881,000","41,373,000"
2,Cost of Revenue,"34,825,000","33,062,000","32,184,000","37,226,000"
3,Gross Profit,"5,227,000","5,198,000","4,697,000","4,147,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,012,000","1,980,000","1,864,000","1,681,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"36,837,000","35,042,000","34,048,000","38,907,000"
10,Operating Income or Loss,"3,215,000","3,218,000","2,833,000","2,466,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-470,000","-590,000","-235,000","-545,000"
13,Earnings Before Interest and Taxes,"3,215,000","3,218,000","2,833,000","2,466,000"
14,Interest Expense,"-350,000","-279,000","-249,000","-293,000"
15,Income Before Tax,"2,745,000","2,628,000","2,598,000","1,921,000"
16,Income Tax Expense,"-282,000","850,000","826,000","697,000"
17,Minority Interest,"8,000","18,000","16,000","15,000"
18,Net Income From Continuing Ops,"3,027,000","1,778,000","1,772,000","1,224,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"3,024,000","1,774,000","1,768,000","1,220,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"3,024,000","1,774,000","1,768,000","1,220,000"
