,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"67,294,000","56,011,000","64,471,000","91,254,000"
2,Cost of Revenue,"59,330,000","49,309,000","56,261,000","84,275,000"
3,Gross Profit,"7,964,000","6,702,000","8,210,000","6,979,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,714,000","1,605,000","1,546,000","1,361,000"
7,Non Recurring,-,-,-,-
8,Others,"454,000","435,000","391,000","390,000"
9,Total Operating Expenses,"63,612,000","53,350,000","59,700,000","87,352,000"
10,Operating Income or Loss,"3,682,000","2,661,000","4,771,000","3,902,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-338,000","-839,000","-397,000","-67,000"
13,Earnings Before Interest and Taxes,"3,682,000","2,661,000","4,771,000","3,902,000"
14,Interest Expense,"-625,000","-538,000","-288,000","-202,000"
15,Income Before Tax,"3,344,000","1,822,000","4,374,000","3,835,000"
16,Income Tax Expense,"-460,000","609,000","1,506,000","1,280,000"
17,Minority Interest,"7,795,000","7,646,000","6,438,000","639,000"
18,Net Income From Continuing Ops,"3,804,000","1,213,000","2,868,000","2,555,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"3,432,000","1,174,000","2,852,000","2,524,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"3,430,000","1,173,000","2,848,000","2,520,000"
