,0,1,2,3,4
0,Revenue,6/30/2018,7/1/2017,7/2/2016,6/27/2015
1,Total Revenue,"5,880,000","4,488,300","4,491,800","4,191,600"
2,Cost of Revenue,"1,989,300","1,404,300","1,439,400","1,273,300"
3,Gross Profit,"3,890,700","3,084,000","3,052,400","2,918,300"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,981,600","2,271,400","2,275,800","2,290,600"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"4,970,900","3,675,700","3,715,200","3,563,900"
10,Operating Income or Loss,"909,100","812,600","776,600","627,700"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-312,300","-53,600","-150,000","-16,100"
13,Earnings Before Interest and Taxes,"909,100","812,600","776,600","627,700"
14,Interest Expense,"-86,300","-17,300","-32,900","-11,900"
15,Income Before Tax,"596,800","759,000","626,600","611,600"
16,Income Tax Expense,"199,300","168,000","166,100","209,200"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"397,500","591,000","460,500","402,400"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"397,500","591,000","460,500","402,400"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"397,500","591,000","460,500","402,400"
