,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"4,613,000","4,486,000","4,451,000","4,854,000"
2,Cost of Revenue,"1,955,000","1,925,000","1,908,000","2,077,000"
3,Gross Profit,"2,658,000","2,561,000","2,543,000","2,777,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,427,000","1,371,000","1,408,000","1,557,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,595,000","3,498,000","3,503,000","3,867,000"
10,Operating Income or Loss,"1,018,000","988,000","948,000","987,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-428,000","-130,000","-111,000","-142,000"
13,Earnings Before Interest and Taxes,"1,018,000","988,000","948,000","987,000"
14,Interest Expense,"-156,000","-133,000","-122,000","-113,000"
15,Income Before Tax,"590,000","858,000","837,000","845,000"
16,Income Tax Expense,"-229,000","313,000","285,000","316,000"
17,Minority Interest,"5,000","4,000","3,000","2,000"
18,Net Income From Continuing Ops,"819,000","545,000","552,000","529,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"53,000","67,000","60,000","60,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"871,000","611,000","612,000","529,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"871,000","611,000","612,000","529,000"
