,assoc,values
0,they buy,zacks investment research raised shares allstate hold rating buy rating set 111.00 price objective company research report monday august 27th .
1,they buy,credit suisse group decreased price objective shares allstate 114.00 112.00 set buy rating company research report tuesday august 28th .
2,they buy,citigroup set 115.00 price target shares allstate gave stock buy rating research report friday october 12th .
3,they buy,ten analysts rated stock hold rating four given buy rating company .
4,they sell,"related news evp susan l. lees sold 22,189 shares allstate stock transaction tuesday august 7th ."
5,they sell,"shares sold average price 99.24 total value 2,202,036.36 ."
6,they sell,"also evp harriet k. harty sold 10,515 shares allstate stock transaction thursday september 13th ."
7,they sell,"shares sold average price 98.87 total transaction 1,039,618.05 ."
8,they sell,"insiders sold total 54,432 shares company stock worth 5,386,208 last three months ."
9,they buy,press release refers non-gaap financial measures adjusted diluted earnings per share organic sales growth decline adjusted ebitda net debt adjusted ebitda adjusted return invested capital .
10,they sell,company spent 9.14 billion trying sell products last quarter result yielding gross income 845 million .
11,they sell,"related news evp human resources aic harty harriet k sold 10,515 shares company stock transaction recorded september 13th 2018. sale performed average price 98.87 total value 1,039,618. sale deal closes evp general counsel sec ."
12,they sell,"harty harriet k sold 22,189 shares company stock valued 2,202,036. also pres allstate personal lines shapiro glenn sold 21,728 shares company stock deal recorded august 6th 2018. shares sold average price 98.70 per share total market value 8,205. following completion acquisition evp general counsel sec ."
13,they buy,6 20 analysts covering stock rated buy 8 maintained hold recommendation allstate corporation stock .
14,they sell,0 analysts assigned sell rating stock .
