Company,WalgreensBootsAllianceInc.,CVSCVSHealthCorporation,CHEChemedCorp.,TDOCTeladocHealthInc.,ExpressScriptsHoldingCompany
MarketValue,$78M,$73M,$4M,$4M,$53M
CurrentLastSaleCLS,$78.8,$72.39,$305.69,$67.19,$95.42
NetChange/%fromclose,1.98/2.58%,1.85/2.62%,26.94/9.66%,3.97/6.28%,0.55/0.58%
TargetPriceTP/CLS%ofTP,N/A,$39/186%,$62/493%,$62/108%,$60/159%
ThisrowincludesthetargetpriceandtheCurrentLastSalesCLSpercentoftheTargetPriceTP.Thetargetpriceisdefinedastheanalystestimated1yeartargetprice.TheCLSpercentofTPcalculationisCurrentPrice/TargetPrice100,,,,,
52WeekHigh/%Change,$80.68/-2%,$83.88/-14%,$335.99/-9%,$89.0462/-25%,$97.22/-2%
Thisrowincludesthe52WeekHighandthe%changeofthe52WeekHighfromthecurrentlastsale.The52WeekHighisdefinedasthehighestendofdayvalueforthepastyear.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive0to5%Thismeansthatthestockistradingatornearits52weekhighthismightindicatethepossibilitythatthereisroomforfuturestockpriceincreasesPositive4.9%to10%Thismeansthatthestockistradingnearits52weekhighthismightindicatethepossibilitythatthereisroomforfuturestockpriceincreasesNeutral10to15%Thismeansthestockistradingatalevelthatdoesntprovideanyclearsignalforpricemovement.Negative16%to30%Thisindicatesthatthe%decreaseisatalevelthatmayindicateastockthatlackssupportforahigherstockprice.MoreNegative31to60%Thisindicatesthatthe%decreaseisatalevelthatmayindicateastockthatlackssupportforahigherstockprice.VeryNegative61%andbelowThisindicatesthatthe%decreaseisatalevelthatmayindicateastockthatlackssupportforahigherstockprice.,,,,,
52WeekLow/%Change,$59.07/33%,$60.14/20%,$219.35/39%,$27.30/146%,$59.17/61%
Thisrowincludesthe52WeekLowandthe%changeofthe52WeekLowfromthecurrentlastsale.The52WeekLowisdefinedasthelowestendofdayvalueforthepastyear.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive15%andaboveThismeansitmightbetradingatadiscountoranalystsfeelthatthereisgrowthinthestockpricePositive2%to14.9%ThismeansitmightbetradingatadiscountoranalystsfeelthatthereisgrowthinthestockpriceNeutral0to1.9%ThismeansitistradingatornearthetargetpriceNegative-1%to-14.9%ThismeansthestockistradingabovethetargetpriceanditmightbetradingatapremiumMoreNegative-15%to-30%ThismeansthestockistradingabovethetargetpriceanditmightbetradingatapremiumVeryNegative-31%andbelowThismeansthestockistradingabovethetargetpriceanditmightbetradingatapremium,,,,,
Beta,0.78,1.01,0.55,1.66,0.67
