,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"21,965,000","21,146,000","20,289,000","19,648,000"
2,Cost of Revenue,"14,881,000","14,028,000","12,917,000","12,397,000"
3,Gross Profit,"7,084,000","7,118,000","7,372,000","7,251,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"215,000","238,000","244,000","218,000"
7,Non Recurring,-,-,-,-
8,Others,"2,501,000","2,329,000","2,199,000","2,061,000"
9,Total Operating Expenses,"18,798,000","17,792,000","16,458,000","15,691,000"
10,Operating Income or Loss,"3,167,000","3,354,000","3,831,000","3,957,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-3,000","-89,000","-381,000","-478,000"
13,Earnings Before Interest and Taxes,"3,167,000","3,354,000","3,831,000","3,957,000"
14,Interest Expense,"-93,000","-65,000","-75,000","-90,000"
15,Income Before Tax,"3,164,000","3,265,000","3,450,000","3,479,000"
16,Income Tax Expense,"699,000","-92,000","1,267,000","1,298,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,465,000","3,357,000","2,183,000","2,181,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,465,000","3,357,000","2,183,000","2,181,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,465,000","3,357,000","2,183,000","2,181,000"
