Company,AutomaticDataProcessingInc.,AABAAltabaInc.,FiservInc.,WDAYWorkdayInc.,CognizantTechnologySolutionsCorporation
MarketValue,$61M,$41M,$33M,$27M,$40M
CurrentLastSaleCLS,$141.62,$68.49,$82.92,$186.03,$70.12
NetChange/%fromclose,1.78/1.27%,0.02/0.03%,0.01/0.01%,4.50/2.48%,0.44/0.63%
TargetPriceTP/CLS%ofTP,$48.25/294%,$48.25/142%,$58/143%,$58/321%,$71/99%
ThisrowincludesthetargetpriceandtheCurrentLastSalesCLSpercentoftheTargetPriceTP.Thetargetpriceisdefinedastheanalystestimated1yeartargetprice.TheCLSpercentofTPcalculationisCurrentPrice/TargetPrice100,,,,,
52WeekHigh/%Change,$153.51/-8%,$82.45/-17%,$85.65/-3%,$184.98/1%,$85.10/-18%
Thisrowincludesthe52WeekHighandthe%changeofthe52WeekHighfromthecurrentlastsale.The52WeekHighisdefinedasthehighestendofdayvalueforthepastyear.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive0to5%Thismeansthatthestockistradingatornearits52weekhighthismightindicatethepossibilitythatthereisroomforfuturestockpriceincreasesPositive4.9%to10%Thismeansthatthestockistradingnearits52weekhighthismightindicatethepossibilitythatthereisroomforfuturestockpriceincreasesNeutral10to15%Thismeansthestockistradingatalevelthatdoesntprovideanyclearsignalforpricemovement.Negative16%to30%Thisindicatesthatthe%decreaseisatalevelthatmayindicateastockthatlackssupportforahigherstockprice.MoreNegative31to60%Thisindicatesthatthe%decreaseisatalevelthatmayindicateastockthatlackssupportforahigherstockprice.VeryNegative61%andbelowThisindicatesthatthe%decreaseisatalevelthatmayindicateastockthatlackssupportforahigherstockprice.,,,,,
52WeekLow/%Change,$107.61/32%,$54.75/25%,$62.76/32%,$107.75/73%,$59.47/18%
Thisrowincludesthe52WeekLowandthe%changeofthe52WeekLowfromthecurrentlastsale.The52WeekLowisdefinedasthelowestendofdayvalueforthepastyear.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive15%andaboveThismeansitmightbetradingatadiscountoranalystsfeelthatthereisgrowthinthestockpricePositive2%to14.9%ThismeansitmightbetradingatadiscountoranalystsfeelthatthereisgrowthinthestockpriceNeutral0to1.9%ThismeansitistradingatornearthetargetpriceNegative-1%to-14.9%ThismeansthestockistradingabovethetargetpriceanditmightbetradingatapremiumMoreNegative-15%to-30%ThismeansthestockistradingabovethetargetpriceanditmightbetradingatapremiumVeryNegative-31%andbelowThismeansthestockistradingabovethetargetpriceanditmightbetradingatapremium,,,,,
Beta,0.91,0,1.02,1.19,0.98
ThisrowincludestheBeta.TheBetaisdefinedasameasureofthevolatilityofastockrelativetotheoverallmarket.Abetaoflessthanoneindicateslowerriskthanthemarket.Abetaofmorethanoneindicateshigherriskthanthemarket.NASDAQ.comusestheSP500astheunderlyingindextomeasuretheoverallmarketforbeta.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive.04andbelowIndicatesamuchlowerriskthanthemarketPositive.99to.05IndicatesalowerriskthanthemarketNeutral1to1.19IndicatesriskalignedwiththemarketNegative1.2-1.69IndicatesahigherriskthanthemarketMoreNegative1.7-1.99IndicatesamuchhigherriskthanthemarketVeryNegative2.0andaboveIndicatesamuchgreaterriskthanthemarket,,,,,
Volume,2923390,2702101,5503476,2377463,2389675
AvgDailyVolume,2675746,7630454,4689203,2555008,3797446
ShortInterest,4240185,19409948,6172585,10728210,6499045
%ofsharesoutstanding,969%,3206%,1549%,7200%,1122%
Daystocover,1.759972,2.249412,3.607298,4.743482,1.779116
ThisrowincludestheDaystoCover.TheDaystoCoveriscalculatedastheaggregateshortinterestforthemonthdividedbytheaveragedailysharevolumetradedfortheperiodbetweenshortinterestsettlementdates.DaystocoverisalsoreferredtoasShort-InterestRatio.Thetermdaystocoverwascoinedtoindicatehowmanydaysitwilltakeshortsellerstocovertheirpositionsifthepriceofastockrises.SomeinvestorsseeahighshortinterestasanopportunitythisisreferredtoasShortSqueeze.VisitInvestopediaformoreinformationaboutShortSqueeze.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.Inthisinstancetheratingisassumingthatthepersonistheshortseller.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.PleasenoteTheSEChasissuedtechnicalammendmentstotheEmergencyShortSaleorderthatprovidedlistingexchangeswithguidanceregardingwhichsecuritiesarecoveredbytheOrder.NASDAQhaspostedalistofinculdedfinancialfirmsforourmarketaswellasaconsolidatedlistforallexchanges.NASDAQcontinuetopostupdatedlistsonthispagedailyuntiltheexpirationoftheemergencyorder.VisitNASDAQTrader.comforadditionaldetails.ColorKeyVeryPositive1andlowerThisindicatesthatthestockwouldtakelessthanadayforshortsellerstocovertheirpositions.Positive1.1-1.5Thisindicatesthatthestockwouldtakeslightlylongerthanadayforshortsellerstocovertheirpositions.Neutral1.6-2Thisindicatesthatthestockwouldtakeuptotwodaysforshortsellerstocovertheirpositions.Negative2.1-3Thisindicatesthatthestockwouldtakemorethanatwodaysforshortsellerstocovertheirpositions.MoreNegative3-8Thisindicatesthatthestockwouldlongerforshortsellerstocovertheirpositions.VeryNegative9andaboveThisindicatesthatthestockwouldtakemuchlongerforshortsellerstocovertheirpositions.,,,,,
EPS,$4.12,N/A,$3.44,$-1.87,$2.45
P/E,34.37,N/A,24.14,NE,28.62
ThisrowincludestheP/E.TheP/Eisdefinedasthestockanalysisstatisticinwhichthecurrentpriceofastocktodayscurrentlastsalepriceisdividedbythereportedactualorsometimesprojectedwhichwouldbeforecastearningspershareoftheissuingfirmitisalsocalledthemultiple.VisitInvestopedia.comtoreadaboutP/ERatioUsingTheP/ERatio.ThecolorcodingassignsavalueofVeryPositivetoVeryNegative.TheColorKeybelowindicatestheassignedvaluesandapossibleexplanationfortherating.AlowP/Emightindicateanumberofnegativefactorsincludingbutnotlimitedtoprojectedlowerearnings.Howeveritisimportanttonotethateachvalueshouldbelookedatincombinationwithotherfactors.TheStockComparisonpageshouldserveasoneamongmanyinformationaltoolsforcomparingstocksandshouldnotbetheonlybasisforabuyorselldecision.ADVICEFROMASECURITIESPROFESSIONALISSTRONGLYADVISED.Pleasevisitourdisclaimerpageforourfulldisclaimer.ColorKeyVeryPositive1-7Positive8-14Neutral15-25AccordingtoInvestopediaHistoricallytheaverageP/Eratiointhemarkethasbeenaround15-25Negative26-35MoreNegative36-45VeryNegative46andabove,,,,,
PEG,N/A,N/A,N/A,N/A,N/A
