,assoc,values
0,they sell,"robinson worldwide news insider jordan t. kass sold 1,382 shares firm stock transaction occurred wednesday february 6th ."
1,they sell,"stock sold average price 90.80 total value 125,485.60 ."
2,they sell,"also insider angela k. freeman sold 2,914 shares firm stock transaction occurred thursday february 14th ."
3,they sell,"shares sold average price 91.01 total value 265,203.14 ."
4,they sell,"robinson worldwide news insider jordan t. kass sold 1,382 shares stock transaction wednesday february 6th ."
5,they sell,"stock sold average price 90.80 total transaction 125,485.60 ."
6,they sell,"also insider angela k. freeman sold 2,914 shares stock transaction thursday february 14th ."
7,they sell,"stock sold average price 91.01 total value 265,203.14 ."
8,they buy,robinson worldwide hold rating buy rating set 102.00 price target stock report thursday february 7th .
9,they sell,robinson worldwide strong sell rating sell rating report wednesday april 3rd .
10,they sell,three analysts rated stock sell rating eleven given hold rating five issued buy rating stock .
11,they sell,three analysts rated stock sell rating eleven assigned hold rating five assigned buy rating company .
12,they buy,robinson worldwide buy rating hold rating report wednesday january 16th .
13,they sell,robinson worldwide hold rating sell rating report wednesday march 6th .
14,they sell,"news insider angela k. freeman sold 2,914 shares stock transaction dated thursday february 14th ."
15,they sell,"shares sold average price 91.01 total value 265,203.14 ."
16,they sell,"also insider jordan t. kass sold 1,382 shares stock transaction dated wednesday february 6th ."
17,they sell,"shares sold average price 90.80 total transaction 125,485.60 ."
18,they sell,group sell-side analysts forecast c.h .
19,they sell,"robinson worldwide news insider jordan t. kass sold 1,382 shares company stock transaction wednesday february 6th ."
20,they sell,"shares sold average price 90.80 total transaction 125,485.60 ."
21,they sell,"also insider angela k. freeman sold 2,914 shares company stock transaction thursday february 14th ."
22,they sell,"stock sold average price 91.01 total transaction 265,203.14 ."
23,they buy,robinson worldwide hold rating buy rating set 101.00 price target stock research note tuesday march 19th .
24,they sell,three research analysts rated stock sell rating eleven issued hold rating five assigned buy rating stock .
25,they sell,"news insider jordan t. kass sold 1,382 shares stock transaction occurred wednesday february 6th ."
26,they sell,"shares sold average price 90.80 total transaction 125,485.60 ."
27,they sell,"also insider angela k. freeman sold 2,914 shares stock transaction occurred thursday february 14th ."
28,they sell,"shares sold average price 91.01 total transaction 265,203.14 ."
29,they buy,robinson worldwide buy rating hold rating research report wednesday january 16th .
30,they sell,robinson worldwide hold rating sell rating research note wednesday march 6th .
31,they sell,three investment analysts rated stock sell rating eleven issued hold rating five assigned buy rating company .
32,they buy,robinson worldwide buy rating hold rating research report tuesday march 26th .
33,they sell,robinson worldwide strong sell rating sell rating research report wednesday april 3rd .
34,they sell,three analysts rated stock sell rating eleven issued hold rating five given buy rating stock .
35,they sell,"news insider jordan t. kass sold 1,382 shares firm stock transaction occurred wednesday february 6th ."
36,they sell,"stock sold average price 90.80 total value 125,485.60 ."
37,they sell,"also insider angela k. freeman sold 2,914 shares firm stock transaction occurred thursday february 14th ."
38,they sell,"shares sold average price 91.01 total value 265,203.14 ."
39,they sell,several hedge funds also recently bought sold shares chrw .
40,they buy,bremer trust national association bought new position c.h .
41,they sell,robinson worldwide strong sell rating sell rating research report wednesday april 3rd .
42,they buy,robinson worldwide buy rating hold rating research report tuesday march 26th .
43,they sell,three equities research analysts rated stock sell rating eleven issued hold rating five issued buy rating company .
44,they sell,"robinson worldwide news insider angela k. freeman sold 2,914 shares company stock transaction dated thursday february 14th ."
45,they sell,"stock sold average price 91.01 total value 265,203.14 ."
46,they sell,"also insider jordan t. kass sold 1,382 shares company stock transaction dated wednesday february 6th ."
47,they sell,"stock sold average price 90.80 total value 125,485.60 ."
48,they sell,"robinson worldwide news insider jordan t. kass sold 1,382 shares stock transaction dated wednesday february 6th ."
49,they sell,"stock sold average price 90.80 total value 125,485.60 ."
50,they sell,"also insider angela k. freeman sold 2,914 shares stock transaction dated thursday february 14th ."
51,they sell,"shares sold average price 91.01 total value 265,203.14 ."
52,they buy,robinson worldwide inc chrw position increased bb corp reported finance daily sole property finance daily .
