,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"279,332,000","237,162,000","200,628,000","241,406,000"
2,Cost of Revenue,"190,752,000","159,053,000","132,759,000","163,605,000"
3,Gross Profit,"88,580,000","78,109,000","67,869,000","77,801,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"12,300,000","11,893,000","11,783,000","10,961,000"
7,Non Recurring,-,-,-,-
8,Others,"35,230,000","32,459,000","31,375,000","32,834,000"
9,Total Operating Expenses,"257,793,000","223,088,000","196,092,000","226,971,000"
10,Operating Income or Loss,"21,539,000","14,074,000","4,536,000","14,435,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"9,414,000","4,600,000","3,433,000","7,531,000"
13,Earnings Before Interest and Taxes,"21,539,000","14,074,000","4,536,000","14,435,000"
14,Interest Expense,"-766,000","-601,000","-453,000","-311,000"
15,Income Before Tax,"30,953,000","18,674,000","7,969,000","21,966,000"
16,Income Tax Expense,"9,532,000","-1,174,000","-406,000","5,415,000"
17,Minority Interest,"6,734,000","6,812,000","6,505,000","5,999,000"
18,Net Income From Continuing Ops,"21,421,000","19,848,000","8,375,000","16,551,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"20,840,000","19,710,000","7,840,000","16,150,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"20,840,000","19,710,000","7,840,000","16,150,000"
