,0,1,2,3,4
0,Revenue,9/30/2018,9/30/2017,9/30/2016,9/30/2015
1,Total Revenue,"8,930,200","8,187,600","7,503,700","7,824,300"
2,Cost of Revenue,"6,189,500","5,751,500","5,177,300","5,598,200"
3,Gross Profit,"2,740,700","2,436,100","2,326,400","2,226,100"
4,Operating Expenses,,,,
5,Research Development,"64,500","57,600","71,800","76,400"
6,Selling General and Administrative,"753,100","715,400","689,200","773,000"
7,Non Recurring,-,-,-,-
8,Others,"-34,500","-52,500","-41,700","-27,600"
9,Total Operating Expenses,"6,972,600","6,472,000","5,896,600","6,420,000"
10,Operating Income or Loss,"1,957,600","1,715,600","1,607,100","1,404,300"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"57,400","-299,500","-52,500","-138,200"
13,Earnings Before Interest and Taxes,"1,957,600","1,715,600","1,607,100","1,404,300"
14,Interest Expense,"-130,500","-120,600","-115,200","-102,800"
15,Income Before Tax,"2,015,000","1,416,100","1,554,600","1,266,100"
16,Income Tax Expense,"524,300","260,900","432,600","300,200"
17,Minority Interest,"318,800","99,300","133,800","132,100"
18,Net Income From Continuing Ops,"1,490,700","1,155,200","1,122,000","965,900"
19,Non-recurring Events,,,,
20,Discontinued Operations,"42,200","1,866,000","-468,400","344,600"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,497,800","3,000,400","631,100","1,277,900"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,497,800","3,000,400","631,100","1,277,900"
