,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"136,819,000","110,855,000","90,272,000","74,989,000"
2,Cost of Revenue,"59,549,000","45,583,000","35,138,000","28,164,000"
3,Gross Profit,"77,270,000","65,272,000","55,134,000","46,825,000"
4,Operating Expenses,,,,
5,Research Development,"21,419,000","16,625,000","13,948,000","12,282,000"
6,Selling General and Administrative,"24,459,000","19,765,000","17,470,000","15,183,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"105,427,000","81,973,000","66,556,000","55,629,000"
10,Operating Income or Loss,"31,392,000","28,882,000","23,716,000","19,360,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"3,521,000","-1,689,000","434,000","291,000"
13,Earnings Before Interest and Taxes,"31,392,000","28,882,000","23,716,000","19,360,000"
14,Interest Expense,"-114,000","-109,000","-124,000","-104,000"
15,Income Before Tax,"34,913,000","27,193,000","24,150,000","19,651,000"
16,Income Tax Expense,"4,177,000","14,531,000","4,672,000","3,303,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"30,736,000","12,662,000","19,478,000","16,348,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"30,736,000","12,662,000","19,478,000","16,348,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"30,736,000","12,662,000","19,478,000","16,348,000"
