,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,5/31/2016,5/31/2015
1,Total Revenue,"3,975,163","3,776,393.772","2,898,150","2,773,718"
2,Cost of Revenue,"1,928,037","1,876,445.456","1,147,639","1,022,107"
3,Gross Profit,"2,047,126","1,899,948.317","1,750,511","1,751,611"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,393,658","1,335,003.651","1,274,267","1,295,014"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,321,695","3,211,449.107","2,421,906","2,317,121"
10,Operating Income or Loss,"653,468","564,944.666","476,244","456,597"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-260,785","-267,783.473","-115,332","-39,487"
13,Earnings Before Interest and Taxes,"653,468","564,944.666","476,244","456,597"
14,Interest Expense,"-174,300","-186,171.46","-67,900","-39,900"
15,Income Before Tax,"392,683","297,161.192","360,912","417,110"
16,Income Tax Expense,"-101,387","61,133.153","70,695","107,995"
17,Minority Interest,"170,704","148,551","130,928","105,577"
18,Net Income From Continuing Ops,"494,070","236,028.039","290,217","309,115"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"468,425","214,167.464","271,666","278,040"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"468,425","214,167.464","271,666","278,040"
