,0,1,2,3,4
0,Revenue,2/2/2019,2/3/2018,1/28/2017,1/30/2016
1,Total Revenue,"121,162,000","122,662,000","115,337,000","109,830,000"
2,Cost of Revenue,"94,142,000","94,955,000","88,785,000","85,496,000"
3,Gross Profit,"27,020,000","27,707,000","26,552,000","24,334,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"21,878,000","22,821,000","20,750,000","18,623,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"118,485,000","120,212,000","111,875,000","106,208,000"
10,Operating Income or Loss,"2,677,000","2,450,000","3,462,000","3,622,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"1,301,000","-966,000","-548,000","-528,000"
13,Earnings Before Interest and Taxes,"2,677,000","2,450,000","3,462,000","3,622,000"
14,Interest Expense,"-620,000","-601,000","-522,000","-482,000"
15,Income Before Tax,"3,978,000","1,484,000","2,914,000","3,094,000"
16,Income Tax Expense,"900,000","-405,000","957,000","1,045,000"
17,Minority Interest,"-51,000","-26,000","12,000","-22,000"
18,Net Income From Continuing Ops,"3,078,000","1,889,000","1,957,000","2,049,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"3,110,000","1,907,000","1,975,000","2,039,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"3,076,000","1,890,000","1,959,000","2,021,000"
