,0,1,2,3
0,Revenue,6/30/2018,6/30/2017,6/30/2016
1,Total Revenue,"10,153,000","9,921,000","8,894,000"
2,Cost of Revenue,"6,505,000","6,100,000","5,559,000"
3,Gross Profit,"3,648,000","3,821,000","3,335,000"
4,Operating Expenses,,,
5,Research Development,-,-,-
6,Selling General and Administrative,"1,271,000","1,126,000","1,205,000"
7,Non Recurring,-,-,-
8,Others,-,-,-
9,Total Operating Expenses,"7,947,000","7,395,000","6,934,000"
10,Operating Income or Loss,"2,206,000","2,526,000","1,960,000"
11,Income from Continuing Operations,,,
12,Total Other Income/Expenses Net,"-36,000","-285,000","-117,000"
13,Earnings Before Interest and Taxes,"2,206,000","2,526,000","1,960,000"
14,Interest Expense,"-43,000","-23,000","-18,000"
15,Income Before Tax,"2,170,000","2,241,000","1,843,000"
16,Income Tax Expense,"-58,000","832,000","736,000"
17,Minority Interest,"275,000","154,000","154,000"
18,Net Income From Continuing Ops,"2,228,000","1,409,000","1,107,000"
19,Non-recurring Events,,,
20,Discontinued Operations,-,-,-
21,Extraordinary Items,-,-,-
22,Effect Of Accounting Changes,-,-,-
23,Other Items,-,-,-
24,Net Income,,,
25,Net Income,"2,187,000","1,372,000","1,072,000"
26,Preferred Stock And Other Adjustments,-,-,-
27,Net Income Applicable To Common Shares,"2,187,000","1,372,000","1,072,000"
