,0,1,2,3,4
0,Revenue,11/30/2017,11/30/2016,11/30/2015,11/30/2014
1,Total Revenue,"12,646,365","10,949,999","9,474,008","7,779,812"
2,Cost of Revenue,"10,005,633","8,556,157","7,340,698","5,965,790"
3,Gross Profit,"2,640,732","2,393,842","2,133,310","1,814,022"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,301,737","1,131,479","1,047,294","891,984"
7,Non Recurring,-,-,-,-
8,Others,"-1,537","-27,446","-33,036","-30,258"
9,Total Operating Expenses,"11,305,833","9,660,190","8,354,956","6,827,516"
10,Operating Income or Loss,"1,340,532","1,289,809","1,119,052","952,296"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-150,921","40,660","90,564","17,488"
13,Earnings Before Interest and Taxes,"1,340,532","1,289,809","1,119,052","952,296"
14,Interest Expense,"-7,164","-4,626","-12,454","-36,551"
15,Income Before Tax,"1,189,611","1,330,469","1,209,616","969,784"
16,Income Tax Expense,"417,857","417,378","390,416","341,091"
17,Minority Interest,"113,815","185,525","301,128","424,282"
18,Net Income From Continuing Ops,"771,754","913,091","819,200","628,693"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"810,480","911,844","802,894","638,916"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"802,656","902,655","794,162","631,123"
