,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"5,792,000","5,238,000","6,360,000","12,249,000"
2,Cost of Revenue,"1,429,000","1,629,000","1,861,000","1,997,000"
3,Gross Profit,"4,363,000","3,609,000","4,499,000","10,252,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"395,000","410,000","380,000","453,000"
7,Non Recurring,-,-,-,-
8,Others,"424,000","768,000","427,000","731,000"
9,Total Operating Expenses,"5,077,000","6,325,000","16,128,000","16,274,000"
10,Operating Income or Loss,"715,000","-1,087,000","-9,768,000","-4,025,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"203,000","-595,000","-2,401,000","-2,805,000"
13,Earnings Before Interest and Taxes,"715,000","-1,087,000","-9,768,000","-4,025,000"
14,Interest Expense,"-415,000","-424,000","-482,000","-420,000"
15,Income Before Tax,"918,000","-1,682,000","-12,169,000","-6,830,000"
16,Income Tax Expense,"-585,000","-442,000","-1,010,000","-518,000"
17,Minority Interest,"1,375,000","1,441,000","1,602,000","2,200,000"
18,Net Income From Continuing Ops,"1,503,000","-1,240,000","-11,159,000","-6,312,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"-33,000","492,000","-1,707,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,304,000","-1,405,000","-10,352,000","-8,360,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,304,000","-1,405,000","-10,352,000","-8,360,000"
