,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"38,524,000","36,534,000","35,653,000","35,239,000"
2,Cost of Revenue,"29,326,000","29,354,000","27,962,000","26,247,000"
3,Gross Profit,"9,198,000","7,180,000","7,691,000","8,992,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"4,658,000","4,106,000","4,081,000","4,341,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"33,984,000","33,460,000","32,043,000","30,588,000"
10,Operating Income or Loss,"4,540,000","3,074,000","3,610,000","4,651,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-549,000","-320,000","-328,000","-415,000"
13,Earnings Before Interest and Taxes,"4,540,000","3,074,000","3,610,000","4,651,000"
14,Interest Expense,"-335,000","-295,000","-292,000","-322,000"
15,Income Before Tax,"3,991,000","2,754,000","3,282,000","4,236,000"
16,Income Tax Expense,"802,000","877,000","1,111,000","1,386,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"3,189,000","1,877,000","2,171,000","2,850,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"3,189,000","1,877,000","2,171,000","2,850,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"3,073,000","1,761,000","2,055,000","2,746,000"
