,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"56,688,000","45,807,000","37,688,000","21,292,000"
2,Cost of Revenue,"46,057,000","37,851,000","30,636,000","17,242,000"
3,Gross Profit,"10,631,000","7,956,000","7,052,000","4,050,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"6,331,000","4,363,000","3,814,000","1,990,000"
7,Non Recurring,-,-,-,-
8,Others,"1,957,000","1,968,000","1,399,000","1,277,000"
9,Total Operating Expenses,"54,556,000","44,338,000","35,996,000","20,533,000"
10,Operating Income or Loss,"2,132,000","1,469,000","1,692,000","759,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-764,000","-335,000","-535,000","-62,000"
13,Earnings Before Interest and Taxes,"2,132,000","1,469,000","1,692,000","759,000"
14,Interest Expense,"-343,000","-255,000","-217,000","-43,000"
15,Income Before Tax,"1,368,000","1,134,000","1,157,000","697,000"
16,Income Tax Expense,"474,000","326,000","599,000","339,000"
17,Minority Interest,"106,000","26,000","159,000","167,000"
18,Net Income From Continuing Ops,"894,000","808,000","558,000","358,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"3,000","-1,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"900,000","828,000","562,000","355,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"900,000","828,000","562,000","355,000"
