,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"5,589,900","5,524,300","5,422,900","5,483,700"
2,Cost of Revenue,"3,300,800","3,317,300","3,264,200","3,198,400"
3,Gross Profit,"2,289,100","2,207,000","2,158,700","2,285,300"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,178,700","1,167,200","1,053,700","1,164,800"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"4,479,500","4,484,500","4,317,900","4,363,200"
10,Operating Income or Loss,"1,110,400","1,039,800","1,105,000","1,120,500"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-119,000","-692,300","-763,300","-178,700"
13,Earnings Before Interest and Taxes,"1,110,400","1,039,800","1,105,000","1,120,500"
14,Interest Expense,"-149,600","-142,100","-152,500","-167,900"
15,Income Before Tax,"991,400","347,500","341,700","941,800"
16,Income Tax Expense,"139,500","904,600","88,500","104,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"851,900","-557,100","253,200","837,800"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"851,900","-557,100","253,200","837,800"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"851,900","-557,100","253,200","837,800"
