,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"15,273,600","15,416,900","15,134,400","15,317,800"
2,Cost of Revenue,"12,481,800","12,671,200","12,491,400","12,602,100"
3,Gross Profit,"2,791,800","2,745,700","2,643,000","2,715,700"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"450,000","443,900","431,800","477,200"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"13,213,900","13,408,000","13,214,300","13,373,700"
10,Operating Income or Loss,"2,059,700","2,008,900","1,920,100","1,944,100"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-171,300","-161,700","-133,100","-117,900"
13,Earnings Before Interest and Taxes,"2,059,700","2,008,900","1,920,100","1,944,100"
14,Interest Expense,"-224,500","-209,700","-181,100","-177,200"
15,Income Before Tax,"1,888,400","1,847,200","1,787,000","1,826,200"
16,Income Tax Expense,"696,200","600,500","583,600","593,100"
17,Minority Interest,"719,500","699,200","604,900","657,000"
18,Net Income From Continuing Ops,"1,192,200","1,246,700","1,203,400","1,233,100"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,088,400","1,148,600","1,093,900","1,104,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,086,800","1,142,100","1,081,500","1,083,600"
