,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"3,079,457","2,483,444","2,159,317","1,778,827"
2,Cost of Revenue,"1,086,581","883,630","762,674","659,873"
3,Gross Profit,"1,992,876","1,599,814","1,396,643","1,118,954"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"175,069","172,422","162,225","114,358"
7,Non Recurring,-,-,-,-
8,Others,"2,818","3,077",213,"60,943"
9,Total Operating Expenses,"2,451,364","1,901,593","1,618,314","1,405,701"
10,Operating Income or Loss,"628,093","581,851","541,003","373,126"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-284,894","-317,683","-98,766","-65,084"
13,Earnings Before Interest and Taxes,"628,093","581,851","541,003","373,126"
14,Interest Expense,"-321,529","-258,642","-236,480","-201,435"
15,Income Before Tax,"343,199","264,168","442,237","308,042"
16,Income Tax Expense,"2,084","7,901","10,385","6,451"
17,Minority Interest,"1,015,398","754,271","36,282","36,370"
18,Net Income From Continuing Ops,"341,115","256,267","431,852","301,591"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"331,246","248,259","426,187","296,689"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"249,930","173,148","332,088","217,266"
