,0,1,2,3,4
0,Revenue,6/30/2018,7/1/2017,7/2/2016,6/27/2015
1,Total Revenue,"58,727,324","55,371,139","50,366,919","48,680,752"
2,Cost of Revenue,"47,641,933","44,813,632","41,326,447","40,129,236"
3,Gross Profit,"11,085,391","10,557,507","9,040,472","8,551,516"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"8,590,754","8,318,570","7,031,224","6,759,686"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"56,232,687","53,132,202","48,357,671","46,888,922"
10,Operating Income or Loss,"2,494,637","2,238,937","2,009,248","1,791,830"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-538,413","-472,707","-576,241","-783,683"
13,Earnings Before Interest and Taxes,"2,494,637","2,238,937","2,009,248","1,791,830"
14,Interest Expense,"-395,483","-302,878","-306,146","-254,807"
15,Income Before Tax,"1,956,224","1,766,230","1,433,007","1,008,147"
16,Income Tax Expense,"525,458","623,727","483,385","321,374"
17,Minority Interest,"37,649","82,839","75,386","41,304"
18,Net Income From Continuing Ops,"1,430,766","1,142,503","949,622","686,773"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,430,766","1,142,503","949,622","686,773"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,430,766","1,142,503","949,622","686,773"
