,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"117,033,000","88,407,000","70,166,000","81,824,000"
2,Cost of Revenue,"109,422,000","81,926,000","63,929,000","72,914,000"
3,Gross Profit,"7,611,000","6,481,000","6,237,000","8,910,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"925,000","835,000","715,000","710,000"
7,Non Recurring,-,-,-,-
8,Others,"45,000","45,000","45,000","45,000"
9,Total Operating Expenses,"112,461,000","84,747,000","66,538,000","75,466,000"
10,Operating Income or Loss,"4,572,000","3,660,000","3,628,000","6,358,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-378,000","-453,000","-446,000","-387,000"
13,Earnings Before Interest and Taxes,"4,572,000","3,660,000","3,628,000","6,358,000"
14,Interest Expense,"-470,000","-468,000","-446,000","-433,000"
15,Income Before Tax,"4,232,000","3,207,000","3,182,000","5,971,000"
16,Income Tax Expense,"879,000","-949,000","765,000","1,870,000"
17,Minority Interest,-,"909,000","830,000","827,000"
18,Net Income From Continuing Ops,"3,353,000","4,156,000","2,417,000","4,101,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"3,122,000","4,065,000","2,289,000","3,990,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"3,122,000","4,061,000","2,286,000","3,987,000"
