,0,1,2,3,4
0,Revenue,9/30/2017,9/30/2016,9/30/2015,9/30/2014
1,Total Revenue,"153,143,826","146,849,686","135,961,803","119,569,127"
2,Cost of Revenue,"148,599,219","142,710,838","132,497,983","116,611,197"
3,Gross Profit,"4,544,607","4,138,848","3,463,820","2,957,930"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,128,730","2,091,237","1,907,840","1,580,664"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"151,125,552","145,166,810","134,654,458","118,380,541"
10,Operating Income or Loss,"2,018,274","1,682,876","1,307,345","1,188,586"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,100,387","-291,966","-1,038,381","-518,723"
13,Earnings Before Interest and Taxes,"2,018,274","1,682,876","1,307,345","1,188,586"
14,Interest Expense,"-149,042","-144,349","-112,021","-84,475"
15,Income Before Tax,"917,887","1,390,910","268,964","669,863"
16,Income Tax Expense,"553,403","-37,019","407,129","388,087"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"364,484","1,427,929","-138,165","281,776"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,"-7,546"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"364,484","1,427,929","-138,165","274,230"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"364,484","1,427,929","-138,165","274,230"
