,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"23,495,700","19,456,400","17,033,300","19,115,100"
2,Cost of Revenue,"19,976,200","16,636,100","14,414,600","16,101,800"
3,Gross Profit,"3,519,500","2,820,300","2,618,700","3,013,300"
4,Operating Expenses,,,,
5,Research Development,"306,100","264,700","247,200","239,800"
6,Selling General and Administrative,"524,900","412,000","424,100","445,900"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"20,807,200","17,312,800","15,085,900","16,787,500"
10,Operating Income or Loss,"2,688,500","2,143,600","1,947,400","2,327,600"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"121,700","29,700","-817,000","9,500"
13,Earnings Before Interest and Taxes,"2,688,500","2,143,600","1,947,400","2,327,600"
14,Interest Expense,-,"-1,700","-1,700","-13,400"
15,Income Before Tax,"2,810,200","2,173,300","1,130,400","2,337,100"
16,Income Tax Expense,"615,100","498,100","608,700","733,100"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,195,100","1,675,200","521,700","1,604,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,195,100","1,675,200","521,700","1,604,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,195,100","1,675,200","521,700","1,604,000"
