,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"2,305,000","2,194,600","2,484,500","2,510,900"
2,Cost of Revenue,"979,000","932,400","1,027,700","1,030,500"
3,Gross Profit,"1,326,000","1,262,200","1,456,800","1,480,400"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"373,100","398,100","443,800","485,500"
7,Non Recurring,-,-,-,-
8,Others,"40,500","29,100","43,800","40,600"
9,Total Operating Expenses,"1,499,300","1,489,300","1,649,500","1,695,700"
10,Operating Income or Loss,"805,700","705,300","835,000","815,200"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"261,400","269,300","255,600","198,300"
13,Earnings Before Interest and Taxes,"805,700","705,300","835,000","815,200"
14,Interest Expense,"-94,200","-96,100","-93,300","-87,900"
15,Income Before Tax,"1,067,100","974,600","1,090,600","1,013,500"
16,Income Tax Expense,"58,400","235,600","263,400","246,100"
17,Minority Interest,"1,568,200","1,480,400","1,544,500","1,661,700"
18,Net Income From Continuing Ops,"1,008,700","739,000","827,200","767,400"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"689,500","472,800","509,500","433,900"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"689,500","472,800","509,500","433,900"
