,0,1,2,3,4
0,Revenue,6/29/2018,6/30/2017,7/1/2016,7/3/2015
1,Total Revenue,"20,647,000","19,093,000","12,994,000","14,572,000"
2,Cost of Revenue,"12,933,000","12,956,000","9,559,000","10,351,000"
3,Gross Profit,"7,714,000","6,137,000","3,435,000","4,221,000"
4,Operating Expenses,,,,
5,Research Development,"2,400,000","2,441,000","1,627,000","1,646,000"
6,Selling General and Administrative,"1,473,000","1,445,000","997,000","788,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"16,806,000","16,842,000","12,183,000","12,785,000"
10,Operating Income or Loss,"3,841,000","2,251,000","811,000","1,787,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,756,000","-1,482,000","-658,000","-210,000"
13,Earnings Before Interest and Taxes,"3,841,000","2,251,000","811,000","1,787,000"
14,Interest Expense,"-676,000","-847,000","-266,000","-49,000"
15,Income Before Tax,"2,085,000","769,000","153,000","1,577,000"
16,Income Tax Expense,"1,410,000","372,000","-89,000","112,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"675,000","397,000","242,000","1,465,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"675,000","397,000","242,000","1,465,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"675,000","397,000","242,000","1,465,000"
