,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"10,529,600","9,799,300","9,071,000","8,023,200"
2,Cost of Revenue,"8,300,200","7,679,200","7,137,900","6,320,100"
3,Gross Profit,"2,229,400","2,120,100","1,933,100","1,703,100"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"936,300","898,500","817,500","662,000"
7,Non Recurring,-,-,-,-
8,Others,"93,800",-300,"-4,200","-1,000"
9,Total Operating Expenses,"9,330,300","8,577,400","7,951,200","6,981,100"
10,Operating Income or Loss,"1,199,300","1,221,900","1,119,800","1,042,100"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-3,400","-158,300","-929,300","-115,300"
13,Earnings Before Interest and Taxes,"1,199,300","1,221,900","1,119,800","1,042,100"
14,Interest Expense,"-58,700","-70,500","-84,600","-60,400"
15,Income Before Tax,"1,195,900","1,063,600","190,500","926,800"
16,Income Tax Expense,"211,300","580,300","30,300","280,400"
17,Minority Interest,"119,300","109,100","83,600","77,800"
18,Net Income From Continuing Ops,"984,600","483,300","160,200","646,400"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"930,700","439,900","118,500","609,700"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"930,700","439,900","118,500","609,700"
