,assoc,values
0,they buy,td shares previous change opened 60.50 closed 60.11. moved intraday high 60.52 low 60.05 .
1,they buy,seekingalpha jane july dividend increases income tracker retirement accounts last five trading days td shares returned past 30 trading days returned 4.19 .
2,they buy,three months changed 3.03 .
3,they buy,one year changed 21.94 within year 52-week high 75.46 52-week low 51.10. td stock 17.63 52 week low .
4,they buy,calculations result 200 day moving average 57.10 50 day moving average 58.30. right td stock trading 5.28 200 day moving average .
5,they buy,seekingalpha laurentian bank financial evp personal digital banking comes td bank company market cap 109.9b 1.8b shares outstanding float 1.8b shares .
6,they buy,"trading volume 750,456 shares experienced average volume 1,147,211 shares ."
7,they buy,calculation using current average volume close price leads believe liquidity good .
8,they buy,last annual reported eps toronto dominion bank 0 ended 31st october 2017 according previous close pe inf .
9,they buy,based 4 analyst estimates consensus eps next quarter 1.17. trailing twelve month eps 4.73 comes trailing twelve month pe 12.71. historically pe high inf pe low 10.40. stock reached pe low would represent price 49.19 decrease .
10,they buy,seekingalpha laurentian bank financial evp personal digital banking comes td bank based last reported financials company return equity 14.54 return assets 0.81 profit margin 21.80 price-to-sales 3.03 price-to-book 2.06 .
11,they buy,results six 1 growth expectations result 6 financial safety result 4 past performance result 2 valuation result 5 dividend safety result 3 overall result related tags banking financial services td toronto dominion bank smith asset management group lp increased stake toronto dominion bank td 51.47 based latest 2018q1 regulatory filing sec .
12,they buy,"smith asset management group lp bought 7,000 shares company stock rose 0.19 stock markets declined ."
13,they buy,"hedge fund held 20,600 shares commercial banks company end 2018q1 valued 1.17 million 13,600 end previous reported quarter ."
14,they sell,smith asset management group lp investing toronto dominion bank number months seems bullish 112.78 billion market cap company .
15,they buy,stock increased 0.58 0.35 last trading session reaching 60.67 .
16,they buy,1.02 million shares traded .
17,they buy,toronto-dominion bank nyse td risen 24.15 since august 23 2017 uptrending .
18,they buy,outperformed 11.58 p500 .
19,they buy,historical td news 24/05/2018 toronto-dominion 2q provision credit losses c 556 24/05/2018 toronto-dominion 2q u.s. retail net c 979m 16 21/03/2018 hr reporter td bank desirable company work canada report 28/03/2018 td bank group intention repurchase cancellation 24/05/2018 toronto-dominion bank 2q cet1 ratio 11.8 est .
20,they buy,11.7 24/05/2018 rbc td show mortgage strength amid monetary regulatory changes 11/04/2018 cyber co cybersecurity incidents plague u.s. finance operations according td bank survey 05/03/2018 priced td bank eu1.25b 1/2023 covered ms 08/04/2018 cyberstone cybersecurity incidents plague u.s. finance operations according td bank survey 24/05/2018 toronto-dominion bank qtrly provision credit losses c 556 mln vs vs c 500 mln reported last year jag capital management llc decreased stake adobe systems inc adbe 1.47 based latest 2018q1 regulatory filing sec .
21,they sell,"jag capital management llc sold 1,633 shares company stock rose 14.81 stock markets declined ."
22,they buy,"institutional investor held 109,525 shares prepackaged software company end 2018q1 valued 23.67m 111,158 end previous reported quarter ."
23,they sell,jag capital management llc investing adobe systems inc number months seems less bullish one 125.13 billion market cap company .
24,they buy,stock increased 1.61 4.04 last trading session reaching 255.54 .
25,they buy,1.71 million shares traded .
26,they buy,adobe systems incorporated nasdaq adbe risen 70.50 since august 23 2017 uptrending .
27,they buy,outperformed 57.93 p500 .
28,they sell,historical adbe news 27/03/2018 adobe websites clear data disclaimers 27/03/2018 smlth act adobe experience manager makes life easier marketers 21/05/2018 adobe buy e-commerce firm magento commerce 1.68 billion 21/05/2018 adobe buy magento commerce 1.7bn 26/03/2018 tech trader adobe serious risks lurk jmp sudden downgrade 28/03/2018 company primary competitor adobe 13/03/2018 lnvoca becomes premier level partner adobe exchange partner program 21/05/2018 adobe systems inc deal 1.68 bln 28/03/2018 adobe launches experience cloud device co-op 26/03/2018 digital river takes ecommerce expertise adobe summit sponsor exhibitor among 39 analysts covering adobe systems nasdaq adbe 27 buy rating 0 sell 12 hold .
29,they buy,therefore 69 positive .
30,they buy,adobe systems 166 analyst reports since august 11 2015 according sratingsintel .
31,they buy,stock adobe systems incorporated nasdaq adbe equal-weight rating given friday march 16 morgan stanley .
32,they buy,rbc capital markets maintained stock buy rating thursday march 15 report .
33,they buy,wednesday june 21 stock rating maintained keybanc capital markets buy .
34,they buy,stock adobe systems incorporated nasdaq adbe neutral rating given wednesday september 21 goldman sachs .
35,they buy,stock outperform rating rbc capital markets friday march 18. jp morgan maintained adobe systems incorporated nasdaq adbe rating friday june 15. jp morgan neutral rating 260 target .
36,they buy,company maintained wednesday september 21 morgan stanley .
37,they buy,firm hold rating wunderlich given thursday november 3. stock adobe systems incorporated nasdaq adbe buy rating given thursday august 24 keybanc capital markets .
38,they buy,keybanc capital markets maintained adobe systems incorporated nasdaq adbe rating friday march 16. keybanc capital markets overweight rating 252 target .
39,they sell,among 11 analysts covering td bank nyse td 6 buy rating 0 sell 5 hold .
40,they buy,therefore 55 positive .
41,they buy,td bank 24 analyst reports since august 12 2015 according sratingsintel .
42,they buy,scotia capital maintained sector perform rating 56 target friday august 28 report .
43,they buy,stock toronto-dominion bank nyse td sector perform rating given monday march 13 rbc capital markets .
44,they buy,tuesday may 3 stock rating upgraded credit suisse outperform .
45,they buy,firm outperform rating given friday september 1 national bank canada .
46,they buy,firm earned buy rating tuesday january 30 bank america .
47,they buy,stock toronto-dominion bank nyse td earned sector performer rating ibc friday august 26. firm buy rating citigroup given wednesday september 14. rbc capital markets maintained outperform rating 61 target friday august 28 report .
48,they buy,credit suisse downgraded shares td report monday september 21 neutral rating .
49,they buy,company upgraded tuesday may 23 barclays capital .
50,they buy,usindexlive.com 300x600 adsbygoogle window.adsbygoogle .push investors sentiment decreased 1.17 q1 2018.
51,they buy,0.27 1.44 2017q4 .
52,they sell,fall 6 investors sold tcx shares 23 reduced holdings .
53,they buy,11 funds opened positions 23 raised stakes .
54,they buy,5.68 million shares 5.62 5.38 million shares 2017q4 reported .
55,they buy,moreover rhumbline advisers 0 invested tucows inc. nasdaq tcx .
56,they buy,"morgan stanley reported 32,696 shares ."
57,they buy,ontario canada-based royal financial bank canada invested 0 tucows inc. nasdaq tcx .
58,they buy,new york-based metropolitan life insur com invested 0 tucows inc. nasdaq tcx .
59,they buy,"susquehanna gp llp holds 0 150,685 shares ."
60,they buy,"national bank new york mellon corporation holds 0 tucows inc. nasdaq tcx 25,450 shares ."
61,they buy,moreover schwab charles management 0 invested tucows inc. nasdaq tcx .
62,they buy,"ubs asset management americas inc holds 4,400 shares ."
63,they buy,"vanguard gru holds 0 57,737 shares ."
64,they buy,td asset management reported 0 tucows inc. nasdaq tcx .
65,they buy,pembroke management reported 3.26 tucows inc. nasdaq tcx .
66,they buy,stratos wealth partners limited stated 25 shares 0 holdings .
67,they buy,"van berkom associates reported 660,778 shares ."
68,they buy,ameritas prns incorporated invested 0 portfolio tucows inc. nasdaq tcx .
69,they buy,barclays public limited com invested 0 tucows inc. nasdaq tcx .
70,they buy,usindexlive.com 300x600 adsbygoogle window.adsbygoogle .push taylor asset management inc decreased stake toronto dominion bk ont td 16.09 based latest 2018q1 regulatory filing sec .
71,they sell,"taylor asset management inc sold 62,400 shares company stock rose 0.19 stock markets declined ."
72,they buy,"hedge fund held 325,500 shares commercial banks company end 2018q1 valued 18.29 million 387,900 end previous reported quarter ."
73,they sell,taylor asset management inc investing toronto dominion bk ont number months seems less bullish one 112.44 billion market cap company .
74,they buy,stock increased 0.28 0.17 last trading session reaching 60.49 .
75,they buy,"235,188 shares traded ."
76,they buy,toronto-dominion bank nyse td risen 24.15 since august 22 2017 uptrending .
77,they buy,outperformed 11.58 p500 .
78,they sell,analysts await toronto-dominion bank nyse td report earnings august 30 open .
79,they sell,expect 1.24 earnings per share 8.77 0.10 last year 1.14 per share .
80,they buy,td profit 2.31 billion 12.20 p/e 1.24 eps becomes reality .
