,0,1,2,3,4
0,Revenue,8/26/2017,8/27/2016,8/29/2015,8/30/2014
1,Total Revenue,"10,888,676","10,635,676","10,187,340","9,475,313"
2,Cost of Revenue,"5,149,056","5,026,940","4,860,309","4,540,406"
3,Gross Profit,"5,739,620","5,608,736","5,327,031","4,934,907"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"3,659,551","3,548,341","3,373,980","3,104,684"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"8,808,607","8,575,281","8,234,289","7,645,090"
10,Operating Income or Loss,"2,080,069","2,060,395","1,953,051","1,830,223"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-154,580","-147,681","-150,439","-167,509"
13,Earnings Before Interest and Taxes,"2,080,069","2,060,395","1,953,051","1,830,223"
14,Interest Expense,"-158,082","-150,052","-152,044","-169,359"
15,Income Before Tax,"1,925,489","1,912,714","1,802,612","1,662,714"
16,Income Tax Expense,"644,620","671,707","642,371","592,970"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,280,869","1,241,007","1,160,241","1,069,744"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,280,869","1,241,007","1,160,241","1,069,744"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,280,869","1,241,007","1,160,241","1,069,744"
