,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"25,938,000","25,896,000","25,923,000","29,636,000"
2,Cost of Revenue,"15,397,000","15,862,000","15,819,000","18,124,000"
3,Gross Profit,"10,541,000","10,034,000","10,104,000","11,512,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"6,282,000","6,101,000","6,533,000","7,561,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"21,855,000","22,141,000","22,528,000","25,866,000"
10,Operating Income or Loss,"4,083,000","3,755,000","3,395,000","3,770,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"85,000","-247,000","-1,636,000","4,114,000"
13,Earnings Before Interest and Taxes,"4,083,000","3,755,000","3,395,000","3,770,000"
14,Interest Expense,"-371,000","-396,000","-612,000","-643,000"
15,Income Before Tax,"4,168,000","3,508,000","1,759,000","7,884,000"
16,Income Tax Expense,"773,000","666,000","114,000","593,000"
17,Minority Interest,"76,000","80,000","54,000","88,000"
18,Net Income From Continuing Ops,"3,395,000","2,842,000","1,645,000","7,291,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"3,381,000","2,828,000","1,635,000","7,267,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"3,381,000","2,828,000","1,635,000","7,267,000"
