,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"14,742,200","13,264,000","5,915,700","5,727,000"
2,Cost of Revenue,"9,652,900","8,385,200","3,611,100","3,523,600"
3,Gross Profit,"5,089,300","4,878,800","2,304,600","2,203,400"
4,Operating Expenses,,,,
5,Research Development,"224,000","188,000","113,000","107,500"
6,Selling General and Administrative,"3,445,100","2,735,600","1,372,900","1,316,100"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"13,322,000","11,308,800","5,097,000","4,947,200"
10,Operating Income or Loss,"1,420,200","1,955,200","818,700","779,800"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"8,800","-1,140,700","-481,200","-317,700"
13,Earnings Before Interest and Taxes,"1,420,200","1,955,200","818,700","779,800"
14,Interest Expense,"-475,800","-417,700","-80,900","-60,400"
15,Income Before Tax,"1,429,000","814,500","337,500","462,100"
16,Income Tax Expense,"-1,319,800","286,000","78,200","89,100"
17,Minority Interest,"36,600","35,600","3,500","3,500"
18,Net Income From Continuing Ops,"2,748,800","528,500","259,300","373,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-700,"90,700","4,800"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,748,800","527,800","350,000","377,800"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,748,800","527,800","350,000","377,900"
