,0,1,2,3,4
0,Revenue,2/2/2018,2/3/2017,1/29/2016,1/30/2015
1,Total Revenue,"23,470,967","21,986,598","20,368,562","18,909,588"
2,Cost of Revenue,"16,249,608","15,203,960","14,062,471","13,107,081"
3,Gross Profit,"7,221,359","6,782,638","6,306,091","5,802,507"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"5,205,741","4,712,889","4,359,897","4,017,214"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"21,455,349","19,916,849","18,422,368","17,124,295"
10,Operating Income or Loss,"2,015,618","2,069,749","1,946,194","1,785,293"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-108,338","-104,121","-93,170","-104,432"
13,Earnings Before Interest and Taxes,"2,015,618","2,069,749","1,946,194","1,785,293"
14,Interest Expense,"-97,036","-97,821","-86,944","-88,232"
15,Income Before Tax,"1,907,280","1,965,628","1,853,024","1,680,861"
16,Income Tax Expense,"368,320","714,495","687,944","615,516"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,538,960","1,251,133","1,165,080","1,065,345"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,538,960","1,251,133","1,165,080","1,065,345"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,538,960","1,251,133","1,165,080","1,065,345"
