,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"23,771,000","20,428,000","17,509,000","19,110,000"
2,Cost of Revenue,"18,034,000","15,328,000","13,051,000","14,163,000"
3,Gross Profit,"5,737,000","5,100,000","4,458,000","4,947,000"
4,Operating Expenses,,,,
5,Research Development,"902,000","754,000","637,000","735,000"
6,Selling General and Administrative,"2,377,000","2,398,000","2,051,000","2,092,000"
7,Non Recurring,-,-,-,-
8,Others,"-11,000","-49,000","-11,000","2,000"
9,Total Operating Expenses,"21,302,000","18,431,000","15,728,000","16,992,000"
10,Operating Income or Loss,"2,469,000","1,997,000","1,781,000","2,118,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"284,000","368,000","149,000","-93,000"
13,Earnings Before Interest and Taxes,"2,469,000","1,997,000","1,781,000","2,118,000"
14,Interest Expense,"-114,000","-81,000","-69,000","-65,000"
15,Income Before Tax,"2,753,000","2,365,000","1,930,000","2,025,000"
16,Income Tax Expense,"566,000","1,371,000","474,000","555,000"
17,Minority Interest,"911,000","905,000","299,000","344,000"
18,Net Income From Continuing Ops,"2,187,000","994,000","1,456,000","1,470,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,141,000","999,000","1,394,000","1,399,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,141,000","999,000","1,394,000","1,399,000"
