,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"6,693,000","6,602,000","5,549,000","6,136,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"6,693,000","6,602,000","5,549,000","6,136,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,815,000","2,847,000","2,792,000","2,701,000"
7,Non Recurring,-,-,-,-
8,Others,"1,113,000","921,000","943,000","929,000"
9,Total Operating Expenses,"3,928,000","3,768,000","3,735,000","3,630,000"
10,Operating Income or Loss,"2,765,000","2,834,000","1,814,000","2,506,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,-,"-63,000","251,000","-141,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"2,765,000","2,771,000","2,065,000","2,365,000"
16,Income Tax Expense,"572,000","577,000","505,000","659,000"
17,Minority Interest,-,"20,000","27,000","31,000"
18,Net Income From Continuing Ops,"2,193,000","2,194,000","1,560,000","1,706,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,193,000","2,194,000","1,564,000","1,712,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,094,000","2,096,000","1,474,000","1,622,000"
