,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"16,727,000","17,173,000","16,138,000","17,486,000"
2,Cost of Revenue,"7,062,000","7,529,000","7,521,000","8,583,000"
3,Gross Profit,"9,665,000","9,644,000","8,617,000","8,903,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"-168,000","-151,000","-144,000","-144,000"
7,Non Recurring,-,-,-,-
8,Others,"1,508,000","1,455,000","1,343,000","1,395,000"
9,Total Operating Expenses,"12,313,000","11,190,000","11,840,000","12,809,000"
10,Operating Income or Loss,"4,414,000","5,983,000","4,298,000","4,677,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"2,938,000","-1,320,000","80,000","-687,000"
13,Earnings Before Interest and Taxes,"4,414,000","5,983,000","4,298,000","4,677,000"
14,Interest Expense,"-1,498,000","-1,558,000","-1,098,000","-1,211,000"
15,Income Before Tax,"7,352,000","4,663,000","4,378,000","3,990,000"
16,Income Tax Expense,"1,576,000","-660,000","1,379,000","1,228,000"
17,Minority Interest,"3,737,000","1,295,000","990,000","538,000"
18,Net Income From Continuing Ops,"5,776,000","5,323,000","2,999,000","2,762,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"6,638,000","5,380,000","2,906,000","2,752,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"6,638,000","5,380,000","2,906,000","2,752,000"
