,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"64,277,000","63,126,000","69,246,000","70,391,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"64,277,000","63,126,000","69,246,000","70,391,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"32,133,000","31,829,000","32,775,000","35,417,000"
7,Non Recurring,-,-,-,-
8,Others,"9,052,000","9,820,000","11,645,000","20,273,000"
9,Total Operating Expenses,"41,185,000","41,649,000","44,420,000","55,690,000"
10,Operating Income or Loss,"23,092,000","21,477,000","24,826,000","14,701,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-331,000",-,-,-
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"22,761,000","21,477,000","24,826,000","14,701,000"
16,Income Tax Expense,"29,388,000","6,444,000","7,440,000","7,197,000"
17,Minority Interest,"932,000","1,023,000","1,235,000","1,511,000"
18,Net Income From Continuing Ops,"-6,627,000","15,033,000","17,386,000","7,504,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-111,000","-58,000","-54,000","-2,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-6,798,000","14,912,000","17,242,000","7,310,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-8,048,000","13,640,000","16,249,000","6,688,000"
