,0,1,2,3,4
0,Revenue,2/4/2018,1/29/2017,1/31/2016,2/1/2015
1,Total Revenue,"8,914,800","8,203,100","8,020,300","8,241,200"
2,Cost of Revenue,"4,020,400","3,832,800","3,858,700","3,914,500"
3,Gross Profit,"4,894,400","4,370,300","4,161,600","4,326,700"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"4,170,200","3,583,800","3,315,600","3,502,700"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"8,190,600","7,416,600","7,174,300","7,417,200"
10,Operating Income or Loss,"724,200","786,500","846,000","824,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-214,000","-112,300","-198,500","-432,600"
13,Earnings Before Interest and Taxes,"724,200","786,500","846,000","824,000"
14,Interest Expense,"-128,500","-120,900","-117,000","-143,500"
15,Income Before Tax,"510,200","674,200","647,500","391,400"
16,Income Tax Expense,"-25,900","125,500","75,100","-47,500"
17,Minority Interest,"2,000","2,000","2,000","2,000"
18,Net Income From Continuing Ops,"536,100","548,700","572,400","438,900"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"537,800","549,000","572,400","439,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"537,800","549,000","572,400","439,000"
