,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"25,364,000","19,494,000","19,337,000","18,854,000"
2,Cost of Revenue,"7,451,000","7,491,000","7,736,000","7,837,000"
3,Gross Profit,"12,176,000","12,003,000","11,601,000","11,017,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,342,000","2,042,000","2,302,000","2,353,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,"41,000"
9,Total Operating Expenses,"9,793,000","9,533,000","10,038,000","10,231,000"
10,Operating Income or Loss,"9,834,000","9,961,000","9,299,000","8,623,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-493,000","-133,000","12,553,000","-545,000"
13,Earnings Before Interest and Taxes,"9,834,000","9,961,000","9,299,000","8,623,000"
14,Interest Expense,"-679,000","-728,000","-743,000","-821,000"
15,Income Before Tax,"9,341,000","9,828,000","21,852,000","8,078,000"
16,Income Tax Expense,"2,374,000","-399,000","7,608,000","2,835,000"
17,Minority Interest,"39,000","41,000","41,000","30,000"
18,Net Income From Continuing Ops,"6,967,000","10,227,000","14,244,000","5,243,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"6,963,000","10,222,000","14,239,000","5,241,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"6,963,000","10,208,000","14,215,000","5,231,000"
