,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"201,159,000","184,840,000","157,107,000","130,474,000"
2,Cost of Revenue,"154,148,000","141,454,000","120,081,000","97,459,000"
3,Gross Profit,"47,011,000","43,386,000","37,026,000","33,015,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"29,557,000","28,401,000","24,312,000","21,263,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"185,950,000","171,910,000","146,086,000","120,200,000"
10,Operating Income or Loss,"15,209,000","12,930,000","11,021,000","10,274,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,186,000","-1,067,000","-790,000","-618,000"
13,Earnings Before Interest and Taxes,"15,209,000","12,930,000","11,021,000","10,274,000"
14,Interest Expense,"-1,186,000","-1,067,000","-790,000","-618,000"
15,Income Before Tax,"14,023,000","11,863,000","10,231,000","9,656,000"
16,Income Tax Expense,"3,200,000","4,790,000","4,363,000","4,037,000"
17,Minority Interest,"4,246,000","1,915,000","1,631,000","1,388,000"
18,Net Income From Continuing Ops,"10,823,000","7,073,000","5,868,000","5,619,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"10,558,000","7,017,000","5,813,000","5,619,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"10,558,000","7,017,000","5,813,000","5,619,000"
