,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"15,888,000","14,729,000","14,970,000","15,102,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"15,888,000","14,729,000","14,970,000","15,102,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"7,401,000","6,923,000","6,847,000","6,556,000"
7,Non Recurring,-,-,-,-
8,Others,"2,997,000","2,553,000","2,616,000","2,932,000"
9,Total Operating Expenses,"10,398,000","9,476,000","9,463,000","9,488,000"
10,Operating Income or Loss,"5,490,000","5,253,000","5,507,000","5,614,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,-,-,-,-
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"5,490,000","5,253,000","5,507,000","5,614,000"
16,Income Tax Expense,"102,000","1,268,000","1,364,000","1,407,000"
17,Minority Interest,"72,000","1,155,000","1,270,000","1,523,000"
18,Net Income From Continuing Ops,"5,388,000","3,985,000","4,143,000","4,207,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"5,338,000","3,903,000","4,106,000","4,184,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"5,053,000","3,662,000","3,864,000","3,936,000"
