,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"6,009,000","5,909,000","5,817,000","5,885,000"
2,Cost of Revenue,"3,214,000","3,126,000","3,183,000","3,288,000"
3,Gross Profit,"2,795,000","2,783,000","2,634,000","2,597,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"-70,000","-44,000","-56,000","-56,000"
7,Non Recurring,-,-,-,-
8,Others,"483,000","477,000","467,000","473,000"
9,Total Operating Expenses,"4,582,000","4,455,000","4,439,000","4,557,000"
10,Operating Income or Loss,"1,427,000","1,454,000","1,378,000","1,328,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-369,000","-349,000","-337,000","-380,000"
13,Earnings Before Interest and Taxes,"1,427,000","1,454,000","1,378,000","1,328,000"
14,Interest Expense,"-401,000","-391,000","-382,000","-355,000"
15,Income Before Tax,"1,058,000","1,105,000","1,041,000","948,000"
16,Income Tax Expense,"237,000","576,000","382,000","363,000"
17,Minority Interest,"142,000","142,000","142,000","142,000"
18,Net Income From Continuing Ops,"821,000","529,000","659,000","585,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,"51,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"815,000","523,000","653,000","630,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"815,000","523,000","653,000","630,000"
