,0,1,2,3,4
0,Revenue,2/3/2018,1/28/2017,1/30/2016,1/31/2015
1,Total Revenue,"71,879,000","69,495,000","73,785,000","72,618,000"
2,Cost of Revenue,"51,125,000","49,145,000","52,241,000","51,278,000"
3,Gross Profit,"20,754,000","20,350,000","21,544,000","21,340,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"14,157,000","13,313,000","14,473,000","14,552,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"67,476,000","64,483,000","68,683,000","67,959,000"
10,Operating Income or Loss,"4,403,000","5,012,000","5,102,000","4,659,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-757,000","-1,047,000","-179,000","-1,006,000"
13,Earnings Before Interest and Taxes,"4,403,000","5,012,000","5,102,000","4,659,000"
14,Interest Expense,"-543,000","-582,000","-607,000","-597,000"
15,Income Before Tax,"3,646,000","3,965,000","4,923,000","3,653,000"
16,Income Tax Expense,"718,000","1,296,000","1,602,000","1,204,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,928,000","2,669,000","3,321,000","2,449,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"6,000","68,000","42,000","-4,085,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,934,000","2,737,000","3,363,000","-1,636,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,934,000","2,737,000","3,363,000","-1,636,000"
