,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"15,787,400","15,940,700","14,570,600","12,688,100"
2,Cost of Revenue,"2,266,000","2,145,400","1,804,700","1,469,200"
3,Gross Profit,"13,521,400","13,795,300","12,765,900","11,218,900"
4,Operating Expenses,,,,
5,Research Development,"2,253,400","1,990,600","2,568,500","2,067,200"
6,Selling General and Administrative,"4,331,200","4,542,400","4,092,200","3,673,300"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"15,402,900","15,875,500","14,935,800","12,653,400"
10,Operating Income or Loss,"384,500","65,200","-365,200","34,700"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-7,241,400","-10,451,600","-2,466,800","-4,582,200"
13,Earnings Before Interest and Taxes,"384,500","65,200","-365,200","34,700"
14,Interest Expense,"-911,200","-1,095,600","-1,295,600","-1,193,300"
15,Income Before Tax,"-6,856,900","-10,386,400","-2,832,000","-4,547,500"
16,Income Tax Expense,"-1,770,700","-6,670,400","-1,897,000","-1,605,900"
17,Minority Interest,"16,900","16,000","7,800","-2,100"
18,Net Income From Continuing Ops,"-5,086,200","-3,716,000","-935,000","-2,941,600"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"-402,900","15,914,500","6,861,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-5,096,400","-4,125,500","14,973,400","3,915,200"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-5,142,800","-4,403,900","14,695,000","3,683,200"
