,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"8,453,000","7,304,000","7,251,000","14,757,000"
2,Cost of Revenue,"7,009,000","6,412,000","7,352,000","11,694,000"
3,Gross Profit,"1,444,000","892,000","-101,000","3,063,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,233,000","1,169,000","1,338,000","1,764,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"8,242,000","7,581,000","8,690,000","13,458,000"
10,Operating Income or Loss,"211,000","-277,000","-1,439,000","1,299,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-170,000","-115,000","-1,184,000","-1,888,000"
13,Earnings Before Interest and Taxes,"211,000","-277,000","-1,439,000","1,299,000"
14,Interest Expense,"-93,000","-102,000","-105,000","-103,000"
15,Income Before Tax,"41,000","-392,000","-2,623,000","-589,000"
16,Income Tax Expense,"63,000","-156,000","-207,000","178,000"
17,Minority Interest,"70,000","66,000","63,000","77,000"
18,Net Income From Continuing Ops,"-22,000","-236,000","-2,416,000","-767,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-31,000","-237,000","-2,412,000","-769,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-31,000","-237,000","-2,412,000","-769,000"
