,0,1,2,3,4
0,Revenue,9/28/2018,9/29/2017,9/30/2016,9/25/2015
1,Total Revenue,"13,988,000","12,185,000","11,352,000","12,233,000"
2,Cost of Revenue,"9,243,000","8,002,000","7,525,000","8,110,000"
3,Gross Profit,"4,745,000","4,183,000","3,827,000","4,123,000"
4,Operating Expenses,,,,
5,Research Development,"680,000","611,000","603,000","627,000"
6,Selling General and Administrative,"1,591,000","1,577,000","1,441,000","1,504,000"
7,Non Recurring,-,-,-,-
8,Others,"-12,000","1,000","21,000","21,000"
9,Total Operating Expenses,"11,502,000","10,191,000","9,590,000","10,241,000"
10,Operating Income or Loss,"2,486,000","1,994,000","1,762,000","1,992,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-246,000","-274,000","-741,000","-417,000"
13,Earnings Before Interest and Taxes,"2,486,000","1,994,000","1,762,000","1,992,000"
14,Interest Expense,"-107,000","-130,000","-127,000","-136,000"
15,Income Before Tax,"2,240,000","1,720,000","1,021,000","1,575,000"
16,Income Tax Expense,"-344,000","180,000","-826,000","337,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,584,000","1,540,000","1,847,000","1,238,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-19,000","143,000","162,000","1,182,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,565,000","1,683,000","2,009,000","2,420,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,565,000","1,683,000","2,009,000","2,420,000"
