,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"5,800,271","5,266,789","5,250,399","5,094,933"
2,Cost of Revenue,"3,390,257","3,102,977","3,089,723","2,980,462"
3,Gross Profit,"2,410,014","2,163,812","2,160,676","2,114,471"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,821,089","1,646,532","1,606,217","1,533,799"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"5,213,051","4,751,072","4,697,177","4,514,453"
10,Operating Income or Loss,"587,220","515,717","553,222","580,480"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"4,382","1,799",888,550
13,Earnings Before Interest and Taxes,"587,220","515,717","553,222","580,480"
14,Interest Expense,-,-,-,-
15,Income Before Tax,"591,602","517,516","554,110","581,030"
16,Income Tax Expense,"157,314","226,932","210,721","223,234"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"434,288","290,584","343,389","357,796"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"434,288","290,584","343,389","357,796"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"434,288","290,584","343,389","357,796"
