,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"54,722,000","45,462,000","38,537,000","47,011,000"
2,Cost of Revenue,"37,719,000","33,638,000","30,402,000","35,897,000"
3,Gross Profit,"17,003,000","11,824,000","8,135,000","11,114,000"
4,Operating Expenses,,,,
5,Research Development,"1,850,000","1,842,000","1,853,000","2,119,000"
6,Selling General and Administrative,"4,806,000","4,425,000","4,476,000","4,363,000"
7,Non Recurring,-,-,-,-
8,Others,"-89,000","-19,000","-78,000","-27,000"
9,Total Operating Expenses,"46,386,000","39,886,000","36,653,000","42,352,000"
10,Operating Income or Loss,"8,336,000","5,576,000","1,884,000","4,659,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-490,000","-1,478,000","-1,751,000","-1,220,000"
13,Earnings Before Interest and Taxes,"8,336,000","5,576,000","1,884,000","4,659,000"
14,Interest Expense,"-404,000","-531,000","-503,000","-507,000"
15,Income Before Tax,"7,846,000","4,098,000","133,000","3,439,000"
16,Income Tax Expense,"1,698,000","3,339,000","192,000","916,000"
17,Minority Interest,"41,000","69,000","76,000","76,000"
18,Net Income From Continuing Ops,"6,148,000","759,000","-59,000","2,523,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"6,147,000","754,000","-67,000","2,512,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"6,147,000","754,000","-67,000","2,512,000"
